component,top_k,overlap,target_precision,component_recall,jaccard
itext_all,20,9,0.45,0.45,0.2903225806451613
itext_all,30,17,0.5666666666666667,0.5666666666666667,0.3953488372093023
itext_all,50,28,0.56,0.56,0.3888888888888889
itext_all,100,57,0.57,0.57,0.3986013986013986
itext_all,150,89,0.5933333333333334,0.5933333333333334,0.4218009478672986
itext_all,200,126,0.63,0.63,0.45985401459854014
C_ratio_hall_minus_nonhall,20,1,0.05,0.05,0.02564102564102564
C_ratio_hall_minus_nonhall,30,1,0.03333333333333333,0.03333333333333333,0.01694915254237288
C_ratio_hall_minus_nonhall,50,3,0.06,0.06,0.030927835051546393
C_ratio_hall_minus_nonhall,100,23,0.23,0.23,0.12994350282485875
C_ratio_hall_minus_nonhall,150,50,0.3333333333333333,0.3333333333333333,0.2
C_ratio_hall_minus_nonhall,200,90,0.45,0.45,0.2903225806451613
C_logtoi_hall_minus_nonhall,20,9,0.45,0.45,0.2903225806451613
C_logtoi_hall_minus_nonhall,30,10,0.3333333333333333,0.3333333333333333,0.2
C_logtoi_hall_minus_nonhall,50,20,0.4,0.4,0.25
C_logtoi_hall_minus_nonhall,100,48,0.48,0.48,0.3157894736842105
C_logtoi_hall_minus_nonhall,150,96,0.64,0.64,0.47058823529411764
C_logtoi_hall_minus_nonhall,200,138,0.69,0.69,0.5267175572519084
C_itext_hall_minus_nonhall,20,2,0.1,0.1,0.05263157894736842
C_itext_hall_minus_nonhall,30,3,0.1,0.1,0.05263157894736842
C_itext_hall_minus_nonhall,50,12,0.24,0.24,0.13636363636363635
C_itext_hall_minus_nonhall,100,44,0.44,0.44,0.28205128205128205
C_itext_hall_minus_nonhall,150,81,0.54,0.54,0.3698630136986301
C_itext_hall_minus_nonhall,200,123,0.615,0.615,0.44404332129963897
text_all,20,9,0.45,0.45,0.2903225806451613
text_all,30,16,0.5333333333333333,0.5333333333333333,0.36363636363636365
text_all,50,24,0.48,0.48,0.3157894736842105
text_all,100,60,0.6,0.6,0.42857142857142855
text_all,150,87,0.58,0.58,0.4084507042253521
text_all,200,121,0.605,0.605,0.4336917562724014
ratio_all,20,5,0.25,0.25,0.14285714285714285
ratio_all,30,8,0.26666666666666666,0.26666666666666666,0.15384615384615385
ratio_all,50,18,0.36,0.36,0.21951219512195122
ratio_all,100,40,0.4,0.4,0.25
ratio_all,150,64,0.4266666666666667,0.4266666666666667,0.2711864406779661
ratio_all,200,97,0.485,0.485,0.3201320132013201
low_image_hall,20,1,0.05,0.05,0.02564102564102564
low_image_hall,30,1,0.03333333333333333,0.03333333333333333,0.01694915254237288
low_image_hall,50,3,0.06,0.06,0.030927835051546393
low_image_hall,100,12,0.12,0.12,0.06382978723404255
low_image_hall,150,23,0.15333333333333332,0.15333333333333332,0.08303249097472924
low_image_hall,200,43,0.215,0.215,0.12044817927170869
