score_name,n_common,pearson_with_target_rank_percentile,spearman_with_target_rank_percentile,path
layerprior_top5mean_alpha0p5__itext_all__C_toi_HminusG,608,0.9955719804254144,0.9955719804254147,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__itext_all__C_toi_HminusG.json
global__txt_attn_raw_all__C_toi_HminusG,608,0.9950119041568025,0.9950119041568019,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_toi_HminusG,608,0.9913722092825086,0.9913722092825089,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha0p5__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha1p0__itext_all__C_toi_HminusG,608,0.9848331987157003,0.984833198715701,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_toi_HminusG,608,0.981229489676016,0.9812294896760166,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha1p0__txt_attn_raw_all__C_toi_HminusG.json
layerprior_top5mean_alpha2p0__itext_all__C_toi_HminusG,608,0.951645129269234,0.9516451292692336,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__itext_all__C_toi_HminusG.json
layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_toi_HminusG,608,0.9492124548148199,0.9492124548148194,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_toi_HminusG.json
global__itext_all__C_logtoi_HminusG,608,0.9143518449307395,0.9143518449307386,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
global__txt_attn_raw_all__C_logtoi_HminusG,608,0.9099995344265911,0.909999534426591,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_logtoi_HminusG.json
Fusion_halltext50_logC30_imgdrop20,608,0.8832589092170283,0.8832589092170295,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_halltext50_logC30_imgdrop20.json
global__itext_all__C_itext_mass_HminusG,608,0.8581962703725742,0.8581962703725742,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_global__itext_all__C_itext_mass_HminusG.json
Fusion_text70_ratioC30,608,0.8570434956618379,0.8570434956618384,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text70_ratioC30.json
local__itext_all__C_toi_HminusG,608,0.8550869127314686,0.8550869127314681,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
global__txt_attn_raw_all__C_itext_mass_HminusG,608,0.8533360470425625,0.8533360470425625,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_global__txt_attn_raw_all__C_itext_mass_HminusG.json
