level,field,label,n,mean,q25,q50,q75,q90
token,r_img,grounded,716,0.8179555687475004,0.768709176928901,0.8407023796977761,0.8953582153492512,0.9256693842199277
token,r_img,hallucinated,121,0.8534272436427865,0.8153779410807707,0.8689105159761262,0.9073069326242771,0.9345104440174687
token,r_full,grounded,716,0.44681355661334665,0.4019464121471919,0.46227588795107044,0.5072705798098299,0.5464354909515972
token,r_full,hallucinated,121,0.46159175832040816,0.41666740699088695,0.47168715867967964,0.5180674834056199,0.5661575679164563
token,delta_img,grounded,716,0.6252230473502873,0.5277923980892907,0.6439299544611898,0.7622554208110206,0.8447011868385395
token,delta_img,hallucinated,121,0.6717919956793197,0.5768847104494405,0.6980938396269258,0.7805172015178573,0.8553404158256516
token,delta_full,grounded,716,0.10737825788794421,0.07273578635923683,0.10597551745446096,0.1389706114971539,0.17415813225222182
token,delta_full,hallucinated,121,0.11452946910938024,0.07778534846511445,0.10979718402336108,0.14710789420239714,0.19303028162496427
head_step,r_img,grounded,64440,0.8179555687475003,0.7687936404386688,0.9020271909609427,0.9607622992837743,0.9839614368444315
head_step,r_img,hallucinated,10890,0.8534272436427865,0.8178650042084131,0.9128489521417074,0.9636168077704657,0.9858728074603313
head_step,r_full,grounded,64440,0.44681355661334665,0.24168415105001118,0.43027446832593835,0.6401498310749745,0.8036607798634602
head_step,r_full,hallucinated,10890,0.46159175832040805,0.26647662521927723,0.45255710009430494,0.6443858952819864,0.8045725012472292
head_step,delta_img,grounded,64440,0.6252230473502874,0.2633884167221018,0.7252493131659337,1.0,1.0
head_step,delta_img,hallucinated,10890,0.6717919956793197,0.3724908118968844,0.7917183951479201,1.0,1.0
head_step,delta_full,grounded,64440,0.10737825788794421,0.0038840488680770657,0.017105038894499176,0.09288735038854608,0.3514172363031536
head_step,delta_full,hallucinated,10890,0.11452946910938022,0.004640194868640051,0.02050909626449184,0.09543309662283594,0.37645095034711634
