rank,head_id,layer,head,fused_score,Itext_all,text_percentile,C_toi_HminusG,contrast_percentile,Itext_hallucinated,Itext_grounded,Img_hallucinated,Img_grounded,LogTOI_gap_HminusG,RawTOI_gap_HminusG
1,L14H16,14,16,0.989247311827957,0.7289632579665216,0.9833822091886608,76.92871967711119,0.9951124144672532,0.8876825521800144,0.7944355597875637,0.020661446181210606,0.02800300467613689,0.9225969717931504,76.92871967711119
2,L14H20,14,20,0.9828934506353861,0.6703312444297828,0.9755620723362659,51.06581686987177,0.9902248289345064,0.774636193247866,0.7324926084812793,0.027403599959759672,0.058363680816229495,0.8806060852201929,51.06581686987177
3,L16H2,16,2,0.9672531769305963,0.5572101322352176,0.9452590420332356,41.58656753500814,0.989247311827957,0.5869887811093291,0.5247442439281741,0.051754198783685354,0.10748810816410534,1.1482665801249046,41.58656753500814
4,L15H25,15,25,0.9667644183773216,0.5782047107602171,0.9511241446725318,26.959736389721726,0.9824046920821115,0.6299002993205363,0.5956343798664029,0.01575954985027471,0.01737428660499317,0.31607783237495113,26.959736389721726
5,L12H24,12,24,0.9565004887585533,0.5857873342286695,0.9530791788856305,11.624290698430698,0.9599217986314761,0.6841244239452456,0.6498232135060114,0.018122759732333096,0.02577436619630739,0.28420682257702046,11.624290698430698
6,L16H9,16,9,0.9491691104594331,0.6334442309076728,0.967741935483871,5.183795236650663,0.9305962854349952,0.7515181509916448,0.6889445153195098,0.09733802129414455,0.14045863777565556,0.2804489070707721,5.183795236650663
7,L15H4,15,4,0.9437927663734116,0.5238404391683089,0.9325513196480939,10.296899083607386,0.9550342130987293,0.5664085110356986,0.5441873312495941,0.02010036155212024,0.02669238020254913,0.24649825250185708,10.296899083607386
8,L12H6,12,6,0.9389051808406648,0.4528354454783656,0.8856304985337243,54.37212744513714,0.9921798631476051,0.2666813164703117,0.455055024037814,0.008957585027395201,0.01385545688967465,0.497425729444136,54.37212744513714
9,L12H21,12,21,0.9364613880742914,0.5015000497413781,0.9227761485826002,8.137832618972219,0.9501466275659824,0.28541213175482,0.41533264309667345,0.04076877014696106,0.05405420281367595,0.32372104344104624,8.137832618972219
10,L16H3,16,3,0.9349951124144673,0.6106089975236508,0.9608993157380255,3.7728398255424196,0.9090909090909091,0.46953846551170036,0.6193476689760912,0.05366714335670156,0.0991575848623361,0.07231173994496265,3.7728398255424196
11,L11H7,11,7,0.9349951124144673,0.4825086318248501,0.9042033235581622,12.782012401736049,0.9657869012707723,0.43993735707495824,0.5045650201802813,0.13602684302763504,0.19472229722158868,0.772771538252405,12.782012401736049
12,L16H6,16,6,0.9315738025415445,0.5880841075591814,0.9550342130987293,3.704321482464973,0.9081133919843597,0.6488822954745332,0.5805479100796097,0.09047838429774134,0.11007830392381998,0.3567684974043712,3.704321482464973
13,L16H31,16,31,0.9310850439882699,0.5305902063331956,0.9384164222873901,4.592484385242997,0.9237536656891495,0.4898507378318093,0.5766473218548898,0.0248438164222339,0.0420022099877203,0.09454539850363775,4.592484385242997
14,L9H27,9,27,0.9271749755620724,0.48605415211648567,0.9071358748778103,7.5951239213349595,0.9472140762463344,0.5631288600362037,0.5480257132865863,0.008908447155282518,0.009536245098993099,0.09840592455514319,7.5951239213349595
15,L13H17,13,17,0.9242424242424243,0.6589832271273489,0.9726295210166178,2.100118555891207,0.8758553274682307,0.7463540144203124,0.7325461807364192,0.02856445854360407,0.02924196230632633,0.062189496500758334,2.100118555891207
16,L9H31,9,31,0.9222873900293256,0.4288078140891333,0.8699902248289345,16.14073978109792,0.9745845552297165,0.6113209034785752,0.46270276439589497,0.024569720768731488,0.028977945030734524,0.20808111183986444,16.14073978109792
17,L14H19,14,19,0.9213098729227762,0.4200662294471229,0.8572825024437928,29.271123012406207,0.9853372434017595,0.4299262087207195,0.4702447499642825,0.1552989147911387,0.29556894785199084,1.1266869369191457,29.271123012406207
18,L15H24,15,24,0.9090909090909091,0.5094514842108316,0.9257086999022482,2.503693474563221,0.8924731182795699,0.6849450730095225,0.6176391948201803,0.10154510726613447,0.12211926397997573,0.21680158345222367,2.503693474563221
19,L15H13,15,13,0.9086021505376345,0.40688390086257503,0.8465298142717498,14.59686322211208,0.9706744868035191,0.3736333497299636,0.3945868553895524,0.033904059859346754,0.06543915981021008,0.4162934284539439,14.59686322211208
20,L10H24,10,24,0.9037145650048877,0.40946734785271977,0.8504398826979472,11.003958183969853,0.956989247311828,0.5514795115171385,0.5586297943272405,0.04917324968605987,0.06410460357226473,0.3870565649780664,11.003958183969853
21,L14H2,14,2,0.8929618768328447,0.3938474845153395,0.8347996089931574,8.388615821006908,0.9511241446725318,0.3796144083511731,0.4214611108409626,0.0719881663637713,0.16672206649234175,0.28019096124367415,8.388615821006908
22,L14H29,14,29,0.8910068426197458,0.4880495160854124,0.9090909090909091,1.9332236106838963,0.8729227761485826,0.42157640388189266,0.4429943473312442,0.17585026626744546,0.22844870629923303,0.2381547020475483,1.9332236106838963
23,L12H0,12,0,0.8875855327468231,0.38113525052326697,0.8220918866080156,9.30483961949372,0.9530791788856305,0.4263390706590384,0.39916989706748024,0.018810409652300117,0.023211327761245175,0.26658584952348274,9.30483961949372
24,L16H21,16,21,0.8856304985337243,0.3669330507614641,0.8093841642228738,11.970971195238704,0.9618768328445748,0.6830417587737406,0.7002162459675826,0.04478260702338101,0.05682223935367009,0.48839900825392624,11.970971195238704
25,L15H22,15,22,0.8836754643206256,0.3648827039162085,0.8064516129032258,11.683124408536479,0.9608993157380255,0.381102374762543,0.2960734473093928,0.057805992847631785,0.09935715902784018,0.793964320523183,11.683124408536479
26,L14H22,14,22,0.8831867057673509,0.3603926766744201,0.8015640273704789,12.58246968619639,0.9648093841642229,0.5845461798108313,0.5725470665613366,0.010036579340942636,0.010634496724805353,0.14301136386965485,12.58246968619639
27,L13H30,13,30,0.8822091886608016,0.4220495053295685,0.8611925708699902,3.162942195046398,0.9032258064516129,0.2978128751447378,0.3664145842610791,0.11170259980130787,0.16391472568392088,0.28130548505048925,3.162942195046398
28,L15H5,15,5,0.8792766373411535,0.3793875233092841,0.8211143695014662,6.064261578977461,0.9374389051808407,0.53700924264498,0.4331287854876598,0.15642363768963774,0.3237667736394445,0.6686677762378803,6.064261578977461
29,L12H11,12,11,0.8729227761485826,0.4216536339793751,0.8602150537634409,2.341569228442566,0.8856304985337243,0.4769154998881758,0.4523808332628378,0.10490768753792629,0.13282132781417677,0.2779955208939753,2.341569228442566
30,L14H26,14,26,0.8729227761485826,0.33546440933492183,0.7732160312805474,15.82156864296038,0.9726295210166178,0.4505623505135213,0.3553024746852214,0.07256606442869203,0.1268628650870403,1.2540205577548849,15.82156864296038
31,L11H4,11,4,0.8631476050830889,0.3852876649168855,0.8250244379276637,3.059259416268299,0.9012707722385142,0.4291301157848894,0.47115448841502544,0.055345905713798584,0.07926469100587195,0.24890531135539362,3.059259416268299
32,L15H27,15,27,0.8489736070381231,0.3649008459654564,0.8074291300097751,2.425283039270183,0.8905180840664711,0.30843345340618417,0.3837869648493868,0.10467155856534469,0.23311331160574653,0.3798701148389536,2.425283039270183
33,L16H4,16,4,0.8440860215053764,0.39419138226725653,0.8357771260997068,1.4590822160081456,0.852394916911046,0.39389224978517895,0.2779841132503648,0.1131918154472162,0.143305479647727,0.3283958908818507,1.4590822160081456
34,L10H25,10,25,0.8411534701857283,0.3057219155236984,0.739980449657869,6.656612073017335,0.9423264907135875,0.3964677802787339,0.3999308132925513,0.008862636306069115,0.009728386831683153,0.11202900902205837,6.656612073017335
35,L10H13,10,13,0.8304007820136853,0.2618325871108748,0.6832844574780059,17.292099728960867,0.9775171065493646,0.5654732353431134,0.35968686190730365,0.023096197892811674,0.025355345793276526,0.48445389455255894,17.292099728960867
36,L12H14,12,14,0.8289345063538611,0.32624999855367903,0.7663734115347018,2.485076929820763,0.8914956011730205,0.31692173165723314,0.3177069504667261,0.06654178554361517,0.1299631799566013,0.33987070031348154,2.485076929820763
37,L10H29,10,29,0.8264907135874877,0.3138444738578681,0.7526881720430108,2.993008683684983,0.9002932551319648,0.1874532320282676,0.2808987655619669,0.16591390696438876,0.2620573535811302,0.5865138298029837,2.993008683684983
38,L9H2,9,2,0.824535679374389,0.32326875099286045,0.7624633431085044,2.346209883062091,0.8866080156402737,0.1398085355758667,0.13591923960094346,0.014072236935954448,0.017367616462307934,0.18145534870339164,2.346209883062091
39,L9H20,9,20,0.8211143695014662,0.35533054709496265,0.7966764418377321,1.3774370026811553,0.8455522971652004,0.5621692907711691,0.48185787803633917,0.0928055634183332,0.12171536609114215,0.17334827653596396,1.3774370026811553
40,L14H28,14,28,0.8191593352883675,0.4358845033025602,0.8748778103616813,0.707307365240716,0.7634408602150538,0.479354807167999,0.4898179026122866,0.026623906182848718,0.034053646152911905,0.0263351315503888,0.707307365240716
41,L13H28,13,28,0.813782991202346,0.27778587459570964,0.7057673509286413,4.471260492735702,0.9217986314760508,0.2931614867911851,0.29383090138435364,0.016491481095306144,0.018884741061226614,0.1859434024506168,4.471260492735702
42,L9H7,9,7,0.8128054740957967,0.26872126045076367,0.6940371456500489,5.426050131903073,0.9315738025415445,0.26084453212328196,0.21255932964759167,0.02078976512940462,0.02374127274118988,0.3390357169335849,5.426050131903073
43,L15H14,15,14,0.8084066471163245,0.30428667724431024,0.7370478983382209,2.1645324683255174,0.8797653958944281,0.3274616500562873,0.30311815332434033,0.10127990649751395,0.2317153961298852,0.2537147757554479,2.1645324683255174
44,L10H20,10,20,0.8054740957966764,0.264525729250031,0.6852394916911047,4.718128624180192,0.9257086999022482,0.31754215689730053,0.3061005927663942,0.028296938119841016,0.04425321727491624,0.28434731449984785,4.718128624180192
45,L16H13,16,13,0.8049853372434017,0.32131476174609647,0.7595307917888563,1.420050283723139,0.8504398826979472,0.33162037350914697,0.32135765079679435,0.10316503195723226,0.2282566016945759,0.25624893631918155,1.420050283723139
46,L11H16,11,16,0.8044965786901271,0.25141869291104796,0.6686217008797655,6.369548610582335,0.9403714565004888,0.2419555280819412,0.23252891894825345,0.015462361091424612,0.02046608267216709,0.32667684748986936,6.369548610582335
47,L14H31,14,31,0.7908113391984359,0.3087059929310771,0.7438905180840665,1.3157800231480667,0.8377321603128055,0.35708754515844926,0.3063263569297737,0.06215770333266455,0.06983234912323552,0.225783020470252,1.3157800231480667
48,L9H30,9,30,0.7844574780058651,0.4920301375622124,0.9139784946236559,0.363641636420899,0.6549364613880743,0.4384164869292708,0.4284258797848025,0.30053711036020075,0.3490993635281504,0.12979541167305064,0.363641636420899
49,L15H7,15,7,0.7805474095796676,0.23774467037864927,0.6402737047898338,4.356692754756964,0.9208211143695014,0.4772893372646048,0.34360333261543147,0.04849104989658703,0.057202345582359995,0.48499878402048124,4.356692754756964
50,L14H23,14,23,0.7800586510263929,0.36985953480257433,0.81524926686217,0.6154854644535934,0.7448680351906158,0.4362161716153799,0.3786586816084451,0.05523745530892995,0.05496144644374954,0.060853514334396674,0.6154854644535934
51,L15H23,15,23,0.7800586510263929,0.354963676219488,0.7947214076246334,0.7108816310558339,0.7653958944281525,0.3137569181190049,0.3597924027529509,0.056112399278593454,0.08686755555968045,0.07043250012625357,0.7108816310558339
52,L14H3,14,3,0.7785923753665689,0.2836427353007294,0.718475073313783,1.3196308846428764,0.8387096774193549,0.24108915388091537,0.2533064000932864,0.20778872602242082,0.31382868776108297,0.41361015968240633,1.3196308846428764
53,L11H28,11,28,0.7771260997067448,0.2592621245978719,0.6774193548387097,2.1296102118955007,0.8768328445747801,0.4464614987373352,0.24004270910550762,0.052351937806310735,0.04018295785235293,0.2506770109164367,2.1296102118955007
54,L12H8,12,8,0.7678396871945259,0.30750196014758197,0.7419354838709677,0.8839813926248121,0.793743890518084,0.44972407177460094,0.34170357258626205,0.05744084789733256,0.056059654115298604,0.10499110996447758,0.8839813926248121
55,L16H10,16,10,0.7644183773216031,0.2474929533089572,0.6608015640273706,1.778160281394392,0.8680351906158358,0.22089522141070406,0.18875623498549007,0.029911941240641695,0.037378439690147695,0.19662986441857289,1.778160281394392
56,L15H31,15,31,0.7624633431085044,0.23860987306073464,0.6422287390029325,2.23543553278901,0.8826979472140762,0.2431441072590095,0.23059575800789134,0.0483532641544815,0.09500931145092628,0.32412798275980403,2.23543553278901
57,L12H3,12,3,0.7609970674486803,0.36294317634030343,0.804496578690127,0.5332744918463348,0.7174975562072337,0.2496431671883449,0.3061512220838216,0.017125929190107615,0.023494361915401905,0.019205310999073077,0.5332744918463348
58,L14H7,14,7,0.7595307917888563,0.2095638212711365,0.5943304007820137,4.689616119917176,0.9247311827956989,0.39158007921266164,0.18820015619919953,0.12049301793752623,0.17585885383230349,0.7781884876922316,4.689616119917176
